time,AKT,OSMO
2021-07-23 12:00:00,1191920012645.0,1780384731760.0
2021-07-23 18:00:00,1199228031666.0,1789646345392.0
2021-07-24 00:00:00,1188438347874.0,1843779432611.0
2021-07-24 06:00:00,1188786095535.0,1876779802008.0
2021-07-24 12:00:00,1185587483377.0,1889479859581.0
2021-07-24 18:00:00,1191671203201.0,1900089368537.0
2021-07-25 00:00:00,1184575240722.0,1947792479134.0
2021-07-25 06:00:00,1188757360312.0,1957163894160.0
2021-07-25 12:00:00,1190862223106.0,1962382297666.0
2021-07-25 18:00:00,1190172219400.0,1992178198724.0
2021-07-26 00:00:00,1190658372622.0,2002299439862.0
2021-07-26 06:00:00,1224578242359.0,1987082396827.0
2021-07-26 12:00:00,1231810348387.0,1992360453514.0
2021-07-26 18:00:00,1244963502173.0,2001918635587.0
2021-07-27 00:00:00,1271367240864.0,2056469905528.0
2021-07-27 06:00:00,1273702480158.0,2064796916932.0
2021-07-27 12:00:00,1280933574911.0,2058856394316.0
2021-07-27 18:00:00,1301718791592.0,2046477414465.0
2021-07-28 00:00:00,1320506926348.0,2070820898223.0
2021-07-28 06:00:00,1330416808603.0,2082763694210.0
2021-07-28 12:00:00,1335211282451.0,2096424374212.0
2021-07-28 18:00:00,1341205415818.0,2101703508555.0
2021-07-29 00:00:00,1345718041599.0,2099052922758.0
2021-07-29 06:00:00,1343228222993.0,2099204279855.0
2021-07-29 12:00:00,1348669120352.0,2093462837580.0
2021-07-29 18:00:00,1360914810753.0,2095460875459.0
2021-07-30 00:00:00,1403674263136.0,2148155219679.0
2021-07-30 06:00:00,1411474331735.0,2142657144238.0
2021-07-30 12:00:00,1414989166092.0,2142179280089.0
2021-07-30 18:00:00,1417217777749.0,2145878867916.0
2021-07-31 00:00:00,1426022069818.0,2155414327800.0
2021-07-31 06:00:00,1423639180280.0,2162271654657.0
2021-07-31 12:00:00,1438620895140.0,2147784204776.0
2021-07-31 18:00:00,1443883102155.0,2152468607203.0
2021-08-01 00:00:00,1495618809082.0,2136487202260.0
2021-08-01 06:00:00,1510237864201.0,2148281057151.0
2021-08-01 12:00:00,1538665125589.0,2134700718230.0
2021-08-01 18:00:00,1530416411269.0,2153298298393.0
2021-08-02 00:00:00,1515420216698.0,2191824942553.0
2021-08-02 06:00:00,1521764902814.0,2198652870783.0
2021-08-02 12:00:00,1525547149663.0,2203211819850.0
2021-08-02 18:00:00,1567811588236.0,2231970514551.0
2021-08-03 00:00:00,1570839931964.0,2255484943539.0
2021-08-03 06:00:00,1563801853783.0,2275383592369.0
2021-08-03 12:00:00,1566166647845.0,2285892540716.0
2021-08-03 18:00:00,1584058123746.0,2302152403376.0
2021-08-04 00:00:00,1602881926679.0,2309357894861.0
2021-08-04 06:00:00,1607875295130.0,2316302629326.0
2021-08-04 12:00:00,1610818891663.0,2331124692955.0
2021-08-04 18:00:00,1568748688874.0,2262789002600.0
2021-08-05 00:00:00,1582769801347.0,2265743428443.0
2021-08-05 06:00:00,1580740212429.0,2279616453868.0
2021-08-05 12:00:00,1600189634646.0,2295807894098.0
2021-08-05 18:00:00,1595011174973.0,2321874619056.0
2021-08-06 00:00:00,1600908159435.0,2347591082572.0
2021-08-06 06:00:00,1602130171857.0,2354940926672.0
2021-08-06 12:00:00,1606366065273.0,2362814499634.0
2021-08-06 18:00:00,1620105213915.0,2378629084496.0
